ts_bucket,trigger_minute,timeframe,predicted_trend,truth_trend,direction_is_match,predicted_support,predicted_resistance,range_tolerance_pct,range_tolerance_abs,support_error_abs,resistance_error_abs,support_within_tolerance,resistance_within_tolerance,range_is_match,horizon_minutes,expected_bars,actual_bars,missing_bars,missing_start_time,truth_support,truth_resistance,path_state,start_open,end_close,max_high,min_low,close_return_bps,close_return_pct,max_up_bps,max_up_pct,max_down_bps,max_down_pct,up_breach_time,down_breach_time,complete_window
2026-03-17T19:30:00+00:00,30,4h,Bearish,Sideways,False,2310.0,2341.83,1.0,23.3366,5.610000000000127,3.1700000000000728,True,True,True,240,240,240,0,,2315.61,2345.0,down_then_up,2333.66,2326.49,2345.0,2315.61,-30.7242700307675,-0.307242700307675,48.593196952426695,0.4859319695242669,-77.346314373129,-0.77346314373129,2026-03-17T21:12:00+00:00,2026-03-17T19:40:00+00:00,True
2026-03-17T19:30:00+00:00,30,1d,Bullish,,False,2305.53,2347.82,1.0,,,,False,False,False,1440,1440,443,997,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T19:45:00+00:00,45,15m,Bearish,Bearish,True,2318.0,2339.0,1.0,23.245500000000003,2.3899999999998727,14.0,True,True,True,15,15,15,0,,2315.61,2325.0,down_only,2324.55,2319.1,2325.0,2315.61,-23.445398034028784,-0.23445398034028783,1.935858553268055,0.01935858553268055,-38.45905659159876,-0.3845905659159876,,2026-03-17T19:46:00+00:00,True
2026-03-17T19:45:00+00:00,45,4h,Sideways,Sideways,True,2305.0,2342.0,1.0,23.245500000000003,10.610000000000127,3.0,True,True,True,240,240,240,0,,2315.61,2345.0,down_then_up,2324.55,2317.83,2345.0,2315.61,-28.90882106214243,-0.2890882106214243,87.97401647630653,0.8797401647630653,-38.45905659159876,-0.3845905659159876,2026-03-17T21:08:00+00:00,2026-03-17T19:46:00+00:00,True
2026-03-17T19:45:00+00:00,45,1d,Bullish,,False,2293.0,2377.0,1.0,,,,False,False,False,1440,1440,428,1012,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T20:00:00+00:00,0,15m,Bearish,Sideways,False,2315.61,2326.63,1.0,23.190900000000003,0.650000000000091,3.5100000000002183,True,True,True,15,15,15,0,,2316.26,2323.12,no_material_break,2319.09,2316.86,2323.12,2316.26,-9.615840696135525,-0.09615840696135525,17.377505832028017,0.17377505832028017,-12.203062408099319,-0.12203062408099319,,,True
2026-03-17T20:00:00+00:00,0,4h,Sideways,Bullish,False,2311.07,2341.83,1.0,23.190900000000003,4.440000000000055,3.1700000000000728,True,True,True,240,240,240,0,,2315.51,2345.0,up_only,2319.09,2316.45,2345.0,2315.51,-11.383775532645135,-0.11383775532645135,111.72485759500361,1.1172485759500361,-15.437089548054894,-0.15437089548054894,2026-03-17T20:23:00+00:00,,True
2026-03-17T20:00:00+00:00,0,1d,Bullish,,False,2292.57,2377.0,1.0,,,,False,False,False,1440,1440,413,1027,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T20:15:00+00:00,15,15m,Sideways,Bullish,False,2316.26,2323.12,1.0,23.1686,0.45999999999958163,6.0300000000002,True,True,True,15,15,15,0,,2316.72,2329.15,close_up,2316.86,2328.01,2329.15,2316.72,48.1254801757558,0.48125480175755797,53.04593285740067,0.5304593285740067,-0.6042661187999343,-0.006042661187999343,2026-03-17T20:20:00+00:00,,True
2026-03-17T20:15:00+00:00,15,4h,Bearish,Bullish,False,2311.07,2341.83,1.0,23.1686,2.4099999999998545,3.1700000000000728,True,True,True,240,240,240,0,,2313.48,2345.0,up_only,2316.86,2319.88,2345.0,2313.48,13.034883419800192,0.13034883419800192,121.45748987854255,1.2145748987854255,-14.588710582427167,-0.14588710582427167,2026-03-17T20:20:00+00:00,,True
